title,description,company,location
Software Engineer,"Build scalable systems. Python, Java, React, AWS, Docker. We use microservices and cloud infrastructure.Build scalable systems. Python, Java, React, AWS, Docker. We use microservices and cloud infrastructure.Build scalable systems. Python, Java, React, AWS, Docker. We use microservices and cloud infrastructure.",TechCorp,Remote
Data Scientist,"ML models, Python, SQL, pandas, machine learning, PyTorch. Experience with NLP and deep learning required.ML models, Python, SQL, pandas, machine learning, PyTorch. Experience with NLP and deep learning required.ML models, Python, SQL, pandas, machine learning, PyTorch. Experience with NLP and deep learning required.",DataCo,NYC
Backend Engineer,"Node.js, Python, PostgreSQL, Kubernetes, microservices. Strong experience with REST APIs and databases.Node.js, Python, PostgreSQL, Kubernetes, microservices. Strong experience with REST APIs and databases.Node.js, Python, PostgreSQL, Kubernetes, microservices. Strong experience with REST APIs and databases.",StartupXYZ,San Francisco
Data Engineer,"Data pipelines, ETL, Python, SQL, Spark, data engineering. Build and maintain data infrastructure.Data pipelines, ETL, Python, SQL, Spark, data engineering. Build and maintain data infrastructure.Data pipelines, ETL, Python, SQL, Spark, data engineering. Build and maintain data infrastructure.",Google,"Mountain View, USA"
Software Engineer,"Python, Java, distributed systems. Google Cloud, Kubernetes. Large-scale systems engineering.Python, Java, distributed systems. Google Cloud, Kubernetes. Large-scale systems engineering.Python, Java, distributed systems. Google Cloud, Kubernetes. Large-scale systems engineering.",Google,"New York, USA"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, ML models, data science. NLP and computer vision experience.Python, TensorFlow, PyTorch, ML models, data science. NLP and computer vision experience.Python, TensorFlow, PyTorch, ML models, data science. NLP and computer vision experience.",Google,"Seattle, USA"
Data Engineer,"SQL, Python, ETL, data warehousing, data engineering. Airflow, dbt, cloud platforms.SQL, Python, ETL, data warehousing, data engineering. Airflow, dbt, cloud platforms.SQL, Python, ETL, data warehousing, data engineering. Airflow, dbt, cloud platforms.",Amazon,"Seattle, USA"
Full Stack Engineer,"React, Node.js, Python, JavaScript, REST APIs. Frontend and backend development.React, Node.js, Python, JavaScript, REST APIs. Frontend and backend development.React, Node.js, Python, JavaScript, REST APIs. Frontend and backend development.",Meta,"Menlo Park, USA"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Terraform. Infrastructure and automation.AWS, Docker, Kubernetes, CI/CD, Terraform. Infrastructure and automation.AWS, Docker, Kubernetes, CI/CD, Terraform. Infrastructure and automation.",Microsoft,"Redmond, USA"
Data Analyst,"SQL, Python, pandas, Tableau, analytics. Data visualization and reporting.SQL, Python, pandas, Tableau, analytics. Data visualization and reporting.SQL, Python, pandas, Tableau, analytics. Data visualization and reporting.",Netflix,"Los Gatos, USA"
