job_id,title,company,location,job_type,posted_date,description,skills
1,Data Scientist,Acme Corp,Remote,Full-time,2024-01-15,"Analyze data and build ML models. Python, SQL, statistics required.","Python|SQL|Machine Learning|Statistics|TensorFlow"
2,Software Engineer,TechCo,San Francisco CA,Full-time,2024-02-01,"Build scalable web applications. Strong in Python and JavaScript.","Python|JavaScript|React|AWS|Docker"
3,Machine Learning Engineer,DataDriven Inc,New York NY,Full-time,2024-01-20,"Design and deploy ML pipelines. Experience with PyTorch and cloud.","Python|PyTorch|TensorFlow|AWS|MLOps"
4,Data Analyst,Analytics Pro,Chicago IL,Full-time,2024-02-10,"Create dashboards and reports. SQL and Tableau skills.","SQL|Tableau|Excel|Python|Data Visualization"
5,Backend Developer,StartupXYZ,Austin TX,Full-time,2024-01-25,"Develop REST APIs and microservices. Go or Python.","Python|Go|PostgreSQL|Redis|Docker"
6,Frontend Developer,WebAgency,Seattle WA,Full-time,2024-02-05,"Build responsive UIs with React. CSS and TypeScript.","React|TypeScript|CSS|JavaScript|HTML"
7,Data Engineer,BigData Co,Boston MA,Full-time,2024-01-30,"Build ETL pipelines. Spark and Airflow experience.","Python|Spark|Airflow|SQL|AWS"
8,Full Stack Engineer,FullStack Inc,Denver CO,Full-time,2024-02-15,"Full stack development. Node.js and React.","Node.js|React|MongoDB|AWS|TypeScript"
9,AI Research Scientist,AI Labs,Palo Alto CA,Full-time,2024-02-01,"Research in NLP and computer vision. PhD preferred.","Python|PyTorch|NLP|Computer Vision|Research"
10,DevOps Engineer,CloudFirst,Remote,Full-time,2024-02-20,"CI/CD and infrastructure. Kubernetes and Terraform.","Kubernetes|Terraform|AWS|Docker|CI/CD"
11,Product Manager,ProductCo,San Francisco CA,Full-time,2024-01-18,"Define product roadmap. Technical background.","Product Management|Agile|SQL|Analytics|Communication"
12,Data Scientist,FinanceCorp,New York NY,Full-time,2024-02-08,"Risk modeling and analytics. Python and R.","Python|R|Statistics|Machine Learning|Finance"
13,ML Engineer,ML Startup,Remote,Full-time,2024-02-12,"Deploy ML models at scale. MLOps and cloud.","Python|MLOps|AWS|Docker|TensorFlow"
14,Analytics Engineer,Dashboards Inc,Chicago IL,Full-time,2024-01-22,"dbt and Looker. Transform data for analytics.","dbt|SQL|Looker|Python|Data Modeling"
15,Software Engineer,Enterprise Co,Austin TX,Full-time,2024-02-18,"Java and Spring Boot. Microservices.","Java|Spring Boot|Kafka|PostgreSQL|Docker"
