job_id,title,company,description,skills
1,Software Engineer,TechCorp,"Build scalable web applications. Requirements: Python, JavaScript, REST APIs, SQL, Git. Experience with FastAPI or Django preferred.","Python,JavaScript,REST APIs,SQL,Git,FastAPI,Django"
2,Data Scientist,DataFlow Inc,"Analyze data and build ML models. Must have: Python, pandas, scikit-learn, statistics, SQL. NLP experience a plus.","Python,pandas,scikit-learn,statistics,SQL,NLP"
3,Frontend Developer,WebStart,"Develop responsive UIs with React, TypeScript, CSS. Knowledge of state management and testing.","React,TypeScript,CSS,JavaScript,state management,testing"
4,Backend Engineer,CloudServe,"Design APIs and microservices. Java or Python, PostgreSQL, Docker, AWS.","Java,Python,PostgreSQL,Docker,AWS,microservices,APIs"
5,Machine Learning Engineer,AI Labs,"Deploy ML models to production. Python, TensorFlow/PyTorch, MLOps, Kubernetes.","Python,TensorFlow,PyTorch,MLOps,Kubernetes,ML"
6,Full Stack Developer,StartupXYZ,"End-to-end development. React, Node.js, MongoDB, REST. Agile experience.","React,Node.js,MongoDB,REST,JavaScript,Agile"
7,DevOps Engineer,InfraCo,"CI/CD, Terraform, Kubernetes, Linux, scripting. Monitor and scale systems.","CI/CD,Terraform,Kubernetes,Linux,scripting,monitoring"
8,Product Manager,ProductCo,"Define roadmap, work with engineering. SQL for analytics, Jira, stakeholder communication.","SQL,analytics,Jira,communication,roadmap,Agile"
9,QA Engineer,QualityFirst,"Test automation with Selenium, Python or Java. API testing, test plans.","Selenium,Python,Java,API testing,test automation"
10,Data Engineer,BigData Co,"ETL pipelines, Spark, Python, SQL, data warehousing. Airflow experience preferred.","Python,Spark,SQL,ETL,Airflow,data warehousing"
11,Junior Software Developer,EntryTech,"Learn and contribute to codebase. Basic Python or JavaScript, Git, willingness to learn.","Python,JavaScript,Git,problem solving"
12,UX Designer,DesignStudio,"User research, Figma, prototyping, accessibility. Collaborate with developers.","Figma,prototyping,user research,accessibility,UI/UX"
13,Cloud Architect,CloudGiant,"Design cloud solutions. AWS or Azure, security, cost optimization, IaC.","AWS,Azure,security,IaC,Terraform,architecture"
14,NLP Engineer,NLP Solutions,"Build NLP pipelines. Python, spaCy, transformers, text classification, NER.","Python,spaCy,transformers,NLP,text classification"
15,Analytics Engineer,AnalyticsCo,"dbt, SQL, Python, data modeling. Work with BI tools like Looker or Tableau.","dbt,SQL,Python,data modeling,Looker,Tableau"
16,Mobile Developer,MobileFirst,"iOS/Android development. Swift or Kotlin, React Native optional.","Swift,Kotlin,React Native,mobile development"
17,Security Engineer,SecureNet,"Application security, penetration testing, secure coding. Python, security tools.","security,penetration testing,Python,secure coding"
18,Technical Writer,DocsPro,"Document APIs and products. Technical writing, Markdown, basic programming concepts.","technical writing,Markdown,APIs,documentation"
