job_id,title,description,company,location
job_0,software engineer,"build scalable systems. python, java, react, aws, docker. we use microservices and cloud infrastructure.build scalable systems. python, java, react, aws, docker. we use microservices and cloud infrastructure.build scalable systems. python, java, react, aws, docker. we use microservices and cloud infrastructure.",techcorp,remote
job_1,data scientist,"ml models, python, sql, pandas, machine learning, pytorch. experience with nlp and deep learning required.ml models, python, sql, pandas, machine learning, pytorch. experience with nlp and deep learning required.ml models, python, sql, pandas, machine learning, pytorch. experience with nlp and deep learning required.",dataco,nyc
job_2,backend engineer,"node.js, python, postgresql, kubernetes, microservices. strong experience with rest apis and databases.node.js, python, postgresql, kubernetes, microservices. strong experience with rest apis and databases.node.js, python, postgresql, kubernetes, microservices. strong experience with rest apis and databases.",startupxyz,san francisco
job_3,data engineer,"data pipelines, etl, python, sql, spark, data engineering. build and maintain data infrastructure.data pipelines, etl, python, sql, spark, data engineering. build and maintain data infrastructure.data pipelines, etl, python, sql, spark, data engineering. build and maintain data infrastructure.",google,"mountain view, usa"
job_4,software engineer,"python, java, distributed systems. google cloud, kubernetes. large-scale systems engineering.python, java, distributed systems. google cloud, kubernetes. large-scale systems engineering.python, java, distributed systems. google cloud, kubernetes. large-scale systems engineering.",google,"new york, usa"
job_5,machine learning engineer,"python, tensorflow, pytorch, ml models, data science. nlp and computer vision experience.python, tensorflow, pytorch, ml models, data science. nlp and computer vision experience.python, tensorflow, pytorch, ml models, data science. nlp and computer vision experience.",google,"seattle, usa"
job_6,data engineer,"sql, python, etl, data warehousing, data engineering. airflow, dbt, cloud platforms.sql, python, etl, data warehousing, data engineering. airflow, dbt, cloud platforms.sql, python, etl, data warehousing, data engineering. airflow, dbt, cloud platforms.",amazon,"seattle, usa"
job_7,full stack engineer,"react, node.js, python, javascript, rest apis. frontend and backend development.react, node.js, python, javascript, rest apis. frontend and backend development.react, node.js, python, javascript, rest apis. frontend and backend development.",meta,"menlo park, usa"
job_8,devops engineer,"aws, docker, kubernetes, ci/cd, terraform. infrastructure and automation.aws, docker, kubernetes, ci/cd, terraform. infrastructure and automation.aws, docker, kubernetes, ci/cd, terraform. infrastructure and automation.",microsoft,"redmond, usa"
job_9,data analyst,"sql, python, pandas, tableau, analytics. data visualization and reporting.sql, python, pandas, tableau, analytics. data visualization and reporting.sql, python, pandas, tableau, analytics. data visualization and reporting.",netflix,"los gatos, usa"
