job_id,title,company,location,job_type,posted_date,description,skills
1,Data Scientist,Acme Corp,Remote,Full-time,2024-01-15,"Analyze data and build ML models. Python, SQL, statistics required.","Python|SQL|Machine Learning|Statistics|TensorFlow"
2,Software Engineer,TechCo,San Francisco CA,Full-time,2024-02-01,"Build scalable web applications. Strong in Python and JavaScript.","Python|JavaScript|React|AWS|Docker"
3,Machine Learning Engineer,DataDriven Inc,New York NY,Full-time,2024-01-20,"Design and deploy ML pipelines. Experience with PyTorch and cloud.","Python|PyTorch|TensorFlow|AWS|MLOps"
4,Data Analyst,Analytics Pro,Chicago IL,Full-time,2024-02-10,"Create dashboards and reports. SQL and Tableau skills.","SQL|Tableau|Excel|Python|Data Visualization"
5,Backend Developer,StartupXYZ,Austin TX,Full-time,2024-01-25,"Develop REST APIs and microservices. Go or Python.","Python|Go|PostgreSQL|Redis|Docker"
6,Frontend Developer,WebAgency,Seattle WA,Full-time,2024-02-05,"Build responsive UIs with React. CSS and TypeScript.","React|TypeScript|CSS|JavaScript|HTML"
7,Data Engineer,BigData Co,Boston MA,Full-time,2024-01-30,"Build ETL pipelines. Spark and Airflow experience.","Python|Spark|Airflow|SQL|AWS"
8,Full Stack Engineer,FullStack Inc,Denver CO,Full-time,2024-02-15,"Full stack development. Node.js and React.","Node.js|React|MongoDB|AWS|TypeScript"
9,AI Research Scientist,AI Labs,Palo Alto CA,Full-time,2024-02-01,"Research in NLP and computer vision. PhD preferred.","Python|PyTorch|NLP|Computer Vision|Research"
10,DevOps Engineer,CloudFirst,Remote,Full-time,2024-02-20,"CI/CD and infrastructure. Kubernetes and Terraform.","Kubernetes|Terraform|AWS|Docker|CI/CD"
11,Product Manager,ProductCo,San Francisco CA,Full-time,2024-01-18,"Define product roadmap. Technical background.","Product Management|Agile|SQL|Analytics|Communication"
12,UX Designer,DesignStudio,Los Angeles CA,Full-time,2024-02-08,"Design user experiences. Figma and prototyping.","Figma|UX Design|Prototyping|User Research|Wireframing"
13,Marketing Manager,BrandCo,Chicago IL,Full-time,2024-01-22,"Lead marketing campaigns. Digital and content.","Marketing|SEO|Content Strategy|Analytics|Campaigns"
14,Financial Analyst,FinanceCorp,New York NY,Full-time,2024-02-12,"Financial modeling and analysis. Excel and VBA.","Excel|Financial Modeling|VBA|Accounting|Analysis"
15,HR Recruiter,TalentAgency,Remote,Full-time,2024-02-18,"Technical recruiting. Sourcing and interviewing.","Recruiting|Sourcing|ATS|Interviewing|Communication"
16,Project Manager,ConsultingCo,Austin TX,Full-time,2024-01-28,"Manage projects. Agile and Scrum.","Project Management|Agile|Scrum|Jira|Communication"
17,Content Writer,MediaInc,Seattle WA,Full-time,2024-02-03,"Write blog posts and content. SEO knowledge.","Content Writing|SEO|Copywriting|Research|Editing"
18,Sales Engineer,TechSales,San Jose CA,Full-time,2024-02-14,"Technical sales. Demos and POCs.","Sales|Technical Demos|Python|Cloud|Presentation"
19,QA Engineer,QualityCo,Portland OR,Full-time,2024-01-26,"Test automation. Selenium and Cypress.","Selenium|Cypress|Testing|Python|CI/CD"
20,Cloud Architect,CloudCorp,Remote,Full-time,2024-02-22,"Design cloud solutions. AWS and Azure.","AWS|Azure|Architecture|Terraform|Kubernetes"
21,BI Analyst,BIAnalytics,Atlanta GA,Full-time,2024-02-06,"Business intelligence. Power BI and Looker.","Power BI|Looker|SQL|Data Modeling|Dashboards"
22,Mobile Developer,MobileApp,Denver CO,Full-time,2024-01-24,"iOS and Android development. React Native.","React Native|Swift|Kotlin|Mobile|JavaScript"
23,Security Engineer,SecCorp,Boston MA,Full-time,2024-02-16,"Application security. Penetration testing.","Security|Penetration Testing|OWASP|Python|Networking"
24,Technical Writer,DocsInc,Remote,Full-time,2024-02-09,"Documentation and tutorials. API docs.","Technical Writing|API Documentation|Markdown|Git|Communication"
25,Scrum Master,AgileCo,Chicago IL,Full-time,2024-01-30,"Facilitate agile ceremonies. Team coaching.","Scrum|Agile|Jira|Coaching|Facilitation"
26,Graphic Designer,CreativeAgency,Miami FL,Full-time,2024-02-11,"Visual design. Adobe Creative Suite.","Adobe|Photoshop|Illustrator|Design|Branding"
27,Database Administrator,DBCorp,Dallas TX,Full-time,2024-02-19,"Database management. PostgreSQL and MySQL.","PostgreSQL|MySQL|SQL|Performance Tuning|Backup"
28,Network Engineer,NetCorp,Washington DC,Full-time,2024-01-27,"Network design and administration.","Networking|Cisco|Firewall|VPN|TCP/IP"
29,Business Analyst,BizAnalytics,Philadelphia PA,Full-time,2024-02-13,"Requirements and process analysis.","Business Analysis|Requirements|SQL|Process|Documentation"
30,Support Engineer,TechSupport,Remote,Full-time,2024-02-21,"Technical support. Troubleshooting.","Support|Troubleshooting|SQL|Linux|Communication"
